fecha,diferencia,dia
02/03/2020,0.4,lunes
03/03/2020,0.4,martes
04/03/2020,0.4,miércoles
05/03/2020,-2,jueves
06/03/2020,0.4,viernes
07/03/2020,-7,sábado
08/03/2020,-19,domingo
09/03/2020,-58,lunes
10/03/2020,0.4,martes
11/03/2020,0.4,miércoles
12/03/2020,0,jueves
13/03/2020,-4,viernes
14/03/2020,-10,sábado
15/03/2020,-31,domingo
16/03/2020,-81,lunes
17/03/2020,-31,martes
18/03/2020,-47,miércoles
19/03/2020,-46,jueves
20/03/2020,-46,viernes
21/03/2020,-48,sábado
22/03/2020,-62,domingo
23/03/2020,-56,lunes
24/03/2020,-63,martes
25/03/2020,-63,miércoles
26/03/2020,-69,jueves
27/03/2020,-68,viernes
28/03/2020,-66,sábado
29/03/2020,-65,domingo
30/03/2020,-67,lunes
31/03/2020,-71,martes
01/04/2020,-73,miércoles
02/04/2020,-74,jueves
03/04/2020,-71,viernes
04/04/2020,-72,sábado
05/04/2020,-84,domingo
06/04/2020,-77,lunes
07/04/2020,-78,martes
08/04/2020,-76,miércoles
09/04/2020,-83,jueves
10/04/2020,-89,viernes
11/04/2020,-86,sábado
12/04/2020,-87,domingo
13/04/2020,-77,lunes
14/04/2020,-78,martes
15/04/2020,-76,miércoles
16/04/2020,-78,jueves
17/04/2020,-75,viernes
18/04/2020,-76,sábado
19/04/2020,-87,domingo
20/04/2020,-74,lunes
21/04/2020,-76,martes
22/04/2020,-76,miércoles
23/04/2020,-81,jueves
24/04/2020,-80,viernes
25/04/2020,-79,sábado
26/04/2020,-87,domingo
27/04/2020,-79,lunes
28/04/2020,-80,martes
29/04/2020,-78,miércoles
30/04/2020,-76,jueves
01/05/2020,-93,viernes
02/05/2020,-79,sábado
03/05/2020,-87,domingo
04/05/2020,-79,lunes
05/05/2020,-80,martes
06/05/2020,-80,miércoles
07/05/2020,-81,jueves
08/05/2020,-82,viernes
09/05/2020,-76,sábado
10/05/2020,-87,domingo
11/05/2020,-81,lunes
12/05/2020,-82,martes
13/05/2020,-80,miércoles
14/05/2020,-81,jueves
15/05/2020,-79,viernes
16/05/2020,-76,sábado
17/05/2020,-87,domingo
18/05/2020,-77,lunes
19/05/2020,-86,martes
20/05/2020,-88,miércoles
21/05/2020,-89,jueves
22/05/2020,-87,viernes
23/05/2020,-86,sábado
24/05/2020,-94,domingo
25/05/2020,-86,lunes
26/05/2020,-88,martes
27/05/2020,-88,miércoles
28/05/2020,-85,jueves
29/05/2020,-84,viernes
30/05/2020,-76,sábado
31/05/2020,-87,domingo
01/06/2020,-81,lunes
02/06/2020,-82,martes
03/06/2020,-82,miércoles
04/06/2020,-83,jueves
05/06/2020,-80,viernes
06/06/2020,-79,sábado
07/06/2020,-87,domingo
08/06/2020,-72,lunes
09/06/2020,-76,martes
10/06/2020,-80,miércoles
11/06/2020,-79,jueves
12/06/2020,-77,viernes
13/06/2020,-72,sábado
14/06/2020,-81,domingo
15/06/2020,-65,lunes
16/06/2020,-75,martes
17/06/2020,-73,miércoles
18/06/2020,-74,jueves
19/06/2020,-71,viernes
20/06/2020,-69,sábado
21/06/2020,-81,domingo
