fecha,00_total_cdmx,alvaro_obregon,azcapotzalco,benito_juarez,coyoacan,cuajimalpa_de_morelos,cuauhtemoc,gustavo_a_madero,iztacalco,iztapalapa,magdalena_contreras,miguel_hidalgo,milpa_alta,tlahuac,tlalpan,venustiano_carranza,xochimilco
02/03/2020,-0.4,-0.4,-5.528255528,-1.484441907,-0.4,-1.991008349,-0.4,-0.4,-0.4,-0.4,-1.311866428,-1.895294897,-0.4,-0.4,-0.4,-0.4,-0.4
03/03/2020,-0.4,-0.4,-19.08315565,-0.909440246,-0.4,-5.773809524,-0.4,-0.4,-0.4,-0.4,-0.709639267,-1.181767023,-1.744186047,-0.4,-0.4,-0.4,-0.4
04/03/2020,-0.537410488,-0.4,-10.89699472,-0.47139763,-7.454289733,-0.4,-0.360892389,-2.194457793,-1.462718516,-0.4,-2.018454441,-0.223438722,-0.4,-5.94795539,-0.4,-0.4,-0.695479384
05/03/2020,-2.158815053,-0.107642627,-6.418689045,-2.915869981,-15.63622613,-0.4,-1.144738905,-0.4,-1.526162791,-0.76107638,-5.882352941,-4.680155324,-0.4,-0.4,-0.4,-0.4,-2.850356295
06/03/2020,-0.164597273,-2.266244057,-1.379763469,-3.378965667,-1.925925926,-1.711229947,-0.4,-0.4,-0.4,-0.4,-7.2619688,-10.30030873,-16.16161616,-0.4,-4.362194316,-0.4,-2.475247525
07/03/2020,-4.579191066,-0.4,-6.373193167,-3.791808263,-0.4,-0.4,-0.4,-7.696566999,-8.241291419,-8.793174625,-8.887283237,-17.44268078,-23.49726776,-6.68358714,0,-0.4,-7.224334601
08/03/2020,-7.235475321,-4.836759371,-6.82830282,-11.38370952,-7.125727989,-9.830508475,-0.4,-12.94177473,-15.35756155,-6.104162778,-21.71372931,-30.39564084,-39.53488372,-0.4,-20.173454,-12.8440367,-6.258322237
09/03/2020,-46.73969979,-55.25474313,-44.64373464,-54.59606052,-59.34349355,-51.95889531,-40.14316115,-37.5348675,-39.09861325,-35.9659255,-52.47465713,-60.82173625,-44.78527607,-28.97196262,-52.43553009,-36.89214887,-36.97621744
10/03/2020,-5.674886571,-0.4,-25.01066098,-8.082490073,-3.582522261,-2.321428571,-6.818375522,-6.579583938,-5.117669032,-4.164965292,-11.11768185,-5.863815419,-0.4,-0.3,-0.966057441,-0.920598389,-0.4
11/03/2020,-0.466203598,-0.4,-12.89286534,-0.4,-4.098854732,-1.302378256,-0.4,-0.512574083,-5.315733143,-2.227993439,-12.11072664,-0.4,-0.4,-5.204460967,-0.4,-0.4,-3.47739692
12/03/2020,-0.4,-0.4,-9.276479927,-0.095602294,-4.367555303,-0.4,-2.038576133,-0.4,-0.4,-0.407719489,-2.972136223,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
13/03/2020,-6.605360146,-14.56418384,-8.935611038,-13.99391569,-9.962962963,-17.37967914,-0.4,-0.4,-4.032,-4.413648538,-26.89618074,-11.33875947,-0.4,-0.4,-14.67283543,-0.4,-2.925292529
