fecha,metro,metrobus,tren_ligero,trolebus,rtp,ecobici,mexibus,mexicable,tren_suburbano
01/03/2020,-0.887935778,-2.292636211,0.07898272,-10.69928677,-22.4425703,-4.914470301,16.60415525,4.570149254,6.317523768
02/03/2020,7.108800715,6.103176376,7.201711845,12.35802258,13.94359181,4.7488383,0,0,0
03/03/2020,3.968162899,5.006655683,1.108748127,5.854732718,11.92131353,6.495303704,-0.81614691,-0.219112242,-1.310115689
04/03/2020,2.403728065,2.419304117,2.259736313,5.118204645,7.313801358,3.716477888,1.275630628,1.733108472,-0.241408091
05/03/2020,2.262604712,2.379756842,3.569041875,6.644181736,9.070707862,5.569662419,-0.149652403,0.831528195,-0.023512566
06/03/2020,4.610953559,6.078235382,1.034291407,4.879821818,8.659874451,2.424957921,0.280366932,-0.833196114,-0.055406428
07/03/2020,0.468162004,-0.167964361,-3.266865713,-3.915827197,-16.92337896,-4.081482512,2.476229671,0.553770425,5.288152319
08/03/2020,1.469205478,-5.54267386,2.527511898,-23.54149253,-24.93426909,0.779831309,-7.095958532,-0.758208955,6.772904062
09/03/2020,-20.81125168,-30.25132146,-27.18785,-24.73734405,-18.18223466,-17.71485659,-15.38779645,-13.05434104,-30.85585828
10/03/2020,3.105462981,5.541130995,5.646521406,6.614908007,12.65323974,4.342330055,0.81614691,0.219112242,1.310115689
11/03/2020,-0.348077039,2.040232217,7.766762082,8.526830007,6.409917824,4.151416894,-1.275630628,-1.733108472,0.241408091
12/03/2020,0.103462754,2.773756265,5.204538541,4.410404344,4.095308268,3.87011589,0.149652403,-0.831528195,0.023512566
13/03/2020,2.518324774,3.987365325,1.997448819,4.939704576,-0.785300956,-0.943935994,-0.280366932,0.833196114,0.055406428
14/03/2020,-4.552377917,-3.321588121,-8.98797548,-8.724410676,-27.09526042,-15.95139905,-2.476229671,-0.553770425,-5.288152319
15/03/2020,-7.950184802,-11.10596175,-8.121731056,-21.32150297,-28.89404988,-28.14857464,-9.508196721,-3.811940299,-13.09042783
16/03/2020,-38.84597015,-57.19753294,-58.16131713,-43.87699969,-50.12998923,-70.29006656,-38.52241643,-23.22853772,-67.60719792
17/03/2020,-10.75913396,-9.444247834,-9.651133795,-8.215632721,0.072787003,-25.88622233,-6.585455228,-5.145603619,-22.80186529
18/03/2020,-15.52890624,-20.28187337,-16.80910812,-15.24807676,-6.384762034,-35.71799196,-11.97580774,-7.524489576,-29.95731778
19/03/2020,-19.84739886,-25.41849588,-30.09053467,-19.83742029,-8.221882927,-44.09933349,-15.17539049,-6.652225561,-32.39476806
20/03/2020,-24.03173238,-28.8647848,-27.41211754,-20.82340338,-11.60760296,-43.23678326,-21.35613125,-14.08529557,-36.82048064
21/03/2020,-28.83461725,-36.61096626,-37.5920136,-36.77871871,-32.33446751,-49.34303295,-11.42787486,-17.7890203,-35.49194266
22/03/2020,-36.05395891,-32.0899662,-35.28925111,-45.22465805,-38.84937175,-51.17961324,-17.42256311,-15.33731343,-39.73584702
23/03/2020,-30.99017312,-40.65541278,-42.75115309,-37.90160094,-25.70130072,-58.43096992,-27.05943948,-18.41210355,-46.95037143
24/03/2020,-41.00808849,-51.0645312,-49.55477666,-39.89953155,-31.37925423,-62.02876599,-38.01386135,-25.66440486,-53.82806494
25/03/2020,-42.94463537,-53.03428642,-51.63234542,-44.30877664,-34.45344683,-65.2674844,-39.27621982,-26.26215508,-56.01195947
26/03/2020,-45.2523481,-55.87528007,-53.44058574,-47.03679594,-36.11148484,-67.5141905,-41.60902867,-27.16791279,-58.77745224
27/03/2020,-49.89063376,-55.34234987,-54.91072227,-46.82282287,-36.23130784,-66.56505076,-41.37704288,-28.75349909,-59.15104197
28/03/2020,-49.96547736,-53.68035002,-48.12930978,-49.88229564,-42.21076385,-55.70512837,-32.82396649,-22.73193409,-50.9889955
29/03/2020,-48.53295332,-51.97075149,-50.25661602,-58.16241014,-51.68648421,-65.09807706,-40.10240634,-28.07164179,-55.90751945
30/03/2020,-47.9555306,-55.96259394,-55.92001771,-49.28356838,-40.43348023,-71.41307361,-43.72389303,-26.3377056,-60.57585527
31/03/2020,-51.37778722,-59.41747135,-61.30063622,-52.05845112,-44.26318223,-73.99047362,-49.88559917,-28.94402036,-63.91529071
01/04/2020,-55.20803619,-62.66109595,-63.48882859,-54.11176376,-46.88997936,-76.47045879,-51.8550594,-30.46754458,-65.73959621
02/04/2020,-58.61794858,-65.72598019,-65.68146623,-56.13852022,-49.22391599,-78.69700554,-53.09511595,-30.16560688,-67.99067951
03/04/2020,-59.81117816,-66.75884754,-65.61292621,-57.32999329,-49.12755464,-77.69121977,-56.01484073,-36.99983534,-69.15708861
04/04/2020,-60.59186396,-65.64250376,-61.81948583,-60.18448009,-55.52773351,-68.01716933,-51.73913141,-31.81787106,-62.29394092
05/04/2020,-63.56321734,-61.72019266,-59.12390336,-66.71283107,-63.15328704,-70.03088217,-53.30144549,-39.31940299,-64.49816335
06/04/2020,-62.88426904,-68.86771806,-67.03900674,-60.5910781,-54.33777222,-79.88182617,-55.4042621,-34.39516969,-71.60346742
07/04/2020,-67.12905925,-70.93501438,-69.30536761,-62.74558327,-57.29079329,-80.50622772,-60.5247886,-41.02346621,-74.23660822
08/04/2020,-68.19150277,-71.63506341,-70.09111785,-62.6307758,-57.47782096,-81.96650623,-59.89110643,-39.56726111,-73.57822784
09/04/2020,-76.00030044,-79.89016656,-78.92164449,-73.90040811,-68.33154598,-87.31206388,-66.9572447,-41.91880372,-82.99433849
10/04/2020,-83.11787739,-84.91415627,-84.2189575,-77.85175016,-75.63468652,-86.32687664,-75.18795573,-54.26971843,-88.91770248
11/04/2020,-77.17363102,-76.57541501,-77.89509424,-73.29553539,-66.48745096,-72.25856627,-64.06100771,-51.35707937,-79.01831734
12/04/2020,-72.8593436,-68.46277801,-66.11097523,-72.08779921,-67.87230016,-72.13768915,-58.09368284,-44.87164179,-70.82973207
13/04/2020,-63.62008051,-67.66477586,-67.70406777,-60.17183425,-57.62582852,-79.69347372,-55.38605124,-38.06648622,-72.40724967
14/04/2020,-65.99583378,-70.95675698,-70.50136987,-62.98710404,-58.65903023,-81.01103987,-59.14356296,-40.38026576,-74.35471815
15/04/2020,-66.51474036,-70.44748601,-69.49025835,-60.28734587,-58.43838786,-80.27617509,-58.21333627,-36.82586386,-73.77156561
16/04/2020,-67.92512576,-72.17530916,-70.35416606,-61.92378826,-58.46034708,-81.49941362,-59.05467796,-36.8527706,-74.69202501
17/04/2020,-67.86572031,-71.88110823,-70.09298996,-61.44194269,-57.41416169,-80.23464649,-59.09046426,-41.72237774,-74.6177842
18/04/2020,-67.3288263,-71.58844306,-66.78825531,-65.14936123,-60.95383172,-71.27690019,-53.01046096,-38.62719628,-68.34685768
19/04/2020,-68.10279585,-67.4934096,-62.60814444,-70.22074607,-65.11372272,-70.12395396,-56.15238737,-41.53134328,-69.42307692
20/04/2020,-64.80026944,-69.81499199,-68.13613867,-60.5776623,-53.60412666,-80.66366652,-55.46496496,-36.94218891,-72.88596103
21/04/2020,-67.64846998,-73.87593752,-71.23283492,-64.86617447,-58.02349898,-83.33451298,-61.14544597,-45.85807181,-75.39057408
22/04/2020,-69.14200181,-73.70633115,-73.23360282,-66.45399819,-58.4272037,-82.61561974,-62.69791974,-45.11464351,-75.92680633
23/04/2020,-70.66040445,-76.07307385,-81.58436961,-64.9279211,-57.61449863,-82.7799398,-63.09776937,-44.15484592,-77.46439431
24/04/2020,-70.90309788,-75.65319907,-75.3622082,-62.90746052,-55.34860283,-82.32300795,-62.23304621,-46.04314178,-77.36837178
25/04/2020,-71.00257341,-74.5605049,-71.17388553,-66.71757267,-58.6728217,-71.25441929,-57.25255038,-44.47255076,-72.22794914
26/04/2020,-72.67381417,-70.5968328,-69.86875049,-71.11576162,-64.55851536,-69.51475676,-60.27013359,-49.21492537,-73.43560933
27/04/2020,-69.18176999,-73.26467657,-73.62836138,-61.02977487,-53.88978923,-80.66366652,-59.61931717,-42.6816573,-75.84610077
28/04/2020,-71.5205019,-74.75909434,-75.78405805,-63.81721027,-58.06740936,-82.12095796,-64.07586046,-46.62849873,-77.5548586
29/04/2020,-72.32017881,-74.28627754,-75.72814219,-62.83935,-58.63080626,-83.00442885,-62.23473165,-43.5501812,-76.91356851
30/04/2020,-71.92725541,-74.37060192,-75.86064851,-61.56141712,-56.66692458,-84.02694435,-60.69837788,-37.67032353,-75.97385614
01/05/2020,-79.30473279,-82.87787812,-83.63963009,-72.37601923,-67.90076452,-86.85602228,-70.64439755,-52.2805862,-86.7667187
02/05/2020,-74.18051581,-74.68076297,-89.81470239,-65.62872391,-58.46599032,-68.46678738,-59.21904042,-44.97846448,-73.58567036
03/05/2020,-74.60761204,-71.7304497,-89.2339075,-70.49471052,-65.7248,-70.3270197,-61.18862995,-48.15820896,-72.66583838
04/05/2020,-70.79334874,-72.25899699,-90.34786432,-61.21692532,-53.86335877,-80.95152593,-59.52560712,-41.79332362,-75.56631338
05/05/2020,-73.78982564,-76.07543068,-91.5824616,-66.99647831,-58.82947524,-84.5848424,-65.69342682,-47.48374329,-78.8232102
06/05/2020,-74.52286241,-77.19688301,-91.98922237,-67.28127871,-56.79812901,-84.96494937,-64.75120944,-46.96616312,-78.09102723
07/05/2020,-75.0520204,-77.31295017,-92.44837087,-67.53230535,-59.99182614,-84.60016419,-66.03845678,-46.83809657,-78.83235012
08/05/2020,-73.81077965,-77.68226829,-92.24458691,-66.4881919,-57.98361861,-82.13604316,-65.38043544,-47.73588013,-78.91519781
09/05/2020,-74.94782495,-75.5063357,-90.90544473,-68.6417539,-60.28368239,-72.51334983,-59.84441646,-46.78334587,-73.11958696
10/05/2020,-76.59657354,-72.50349245,-92.1471792,-73.5794918,-68.67942101,-73.33916141,-62.03379831,-44.37014925,-73.98660328
11/05/2020,-71.97717866,-75.36506034,-91.02167615,-66.13247561,-57.99238432,-83.21886295,-62.32211216,-48.71261017,-77.37981002
12/05/2020,-74.37900139,-76.94018992,-92.36669146,-67.3137576,-57.85513257,-82.49873129,-65.87716945,-48.18348883,-78.40822939
13/05/2020,-74.7190049,-76.56578803,-91.72103635,-66.69318878,-58.29782329,-82.47393507,-65.35211168,-47.64074778,-77.71702957
14/05/2020,-74.78226981,-76.33702631,-92.55078337,-66.39007602,-58.18238185,-82.15308536,-64.69229272,-44.98637412,-77.84799258
15/05/2020,-72.45108058,-75.89431333,-91.72257811,-62.84371436,-53.12475958,-79.76547069,-62.50225341,-43.57319282,-76.85529308
16/05/2020,-72.45242244,-72.68176622,-91.56865233,-66.37207258,-58.12778777,-67.73241123,-56.75377049,-43.24878649,-70.4578895
17/05/2020,-73.5196564,-70.00399315,-91.56027578,-71.50282172,-66.05702651,-68.27944022,-60.57355978,-46.80597015,-70.67739844
18/05/2020,-71.2535778,-73.580358,-91.86065938,-62.03864327,-53.28936388,-81.58765967,-63.85410067,-40.99521133,-74.83692547
19/05/2020,-72.7264281,-74.99768121,-91.7862786,-64.19924045,-55.6359697,-81.33532316,-63.80270109,-47.22222222,-76.9127024
20/05/2020,-73.21214702,-75.27691495,-92.54811383,-65.43026246,-56.4275266,-83.40971293,-62.42036182,-44.88499767,-76.39747287
21/05/2020,-73.3228182,-76.57211121,-91.92906705,-66.88421849,-57.82710516,-82.53523192,-66.40745785,-45.17504018,-77.02584533
22/05/2020,-72.88264413,-75.41033507,-92.45134334,-64.1218571,-55.79069847,-81.00719912,-62.1410213,-45.25275811,-76.44037737
