fecha,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex,metro,metrobus,tren_ligero,trolebus,rtp,ecobici,mexibus,mexicable,tren_suburbano,transito
24/03/2020,50,50,0,39,39,0,-41.00808849,-51.0645312,-49.55477666,-39.89953155,-31.37925423,-62.02876599,-38.01386135,-25.66440486,-53.82806494,-63
25/03/2020,105,105,0,33,33,0,-42.94463537,-53.03428642,-51.63234542,-44.30877664,-34.45344683,-65.2674844,-39.27621982,-26.26215508,-56.01195947,-63
26/03/2020,128,128,0,42,42,0,-45.2523481,-55.87528007,-53.44058574,-47.03679594,-36.11148484,-67.5141905,-41.60902867,-27.16791279,-58.77745224,-69
27/03/2020,175,175,0,60,60,0,-49.89063376,-55.34234987,-54.91072227,-46.82282287,-36.23130784,-66.56505076,-41.37704288,-28.75349909,-59.15104197,-68
28/03/2020,257,257,0,78,78,0,-49.96547736,-53.68035002,-48.12930978,-49.88229564,-42.21076385,-55.70512837,-32.82396649,-22.73193409,-50.9889955,-66
29/03/2020,258,258,0,84,84,0,-48.53295332,-51.97075149,-50.25661602,-58.16241014,-51.68648421,-65.09807706,-40.10240634,-28.07164179,-55.90751945,-65
30/03/2020,324,301,23,109,104,5,-47.9555306,-55.96259394,-55.92001771,-49.28356838,-40.43348023,-71.41307361,-43.72389303,-26.3377056,-60.57585527,-67
31/03/2020,328,313,15,122,118,4,-51.37778722,-59.41747135,-61.30063622,-52.05845112,-44.26318223,-73.99047362,-49.88559917,-28.94402036,-63.91529071,-71
01/04/2020,384,359,25,133,128,5,-55.20803619,-62.66109595,-63.48882859,-54.11176376,-46.88997936,-76.47045879,-51.8550594,-30.46754458,-65.73959621,-73
02/04/2020,393,361,32,143,136,7,-58.61794858,-65.72598019,-65.68146623,-56.13852022,-49.22391599,-78.69700554,-53.09511595,-30.16560688,-67.99067951,-74
03/04/2020,448,405,43,131,124,7,-59.81117816,-66.75884754,-65.61292621,-57.32999329,-49.12755464,-77.69121977,-56.01484073,-36.99983534,-69.15708861,-71
04/04/2020,474,434,40,132,127,5,-60.59186396,-65.64250376,-61.81948583,-60.18448009,-55.52773351,-68.01716933,-51.73913141,-31.81787106,-62.29394092,-72
05/04/2020,546,509,37,153,146,7,-63.56321734,-61.72019266,-59.12390336,-66.71283107,-63.15328704,-70.03088217,-53.30144549,-39.31940299,-64.49816335,-84
06/04/2020,596,559,37,182,171,11,-62.88426904,-68.86771806,-67.03900674,-60.5910781,-54.33777222,-79.88182617,-55.4042621,-34.39516969,-71.60346742,-77
07/04/2020,670,609,61,191,178,13,-67.12905925,-70.93501438,-69.30536761,-62.74558327,-57.29079329,-80.50622772,-60.5247886,-41.02346621,-74.23660822,-78
08/04/2020,741,657,84,229,202,27,-68.19150277,-71.63506341,-70.09111785,-62.6307758,-57.47782096,-81.96650623,-59.89110643,-39.56726111,-73.57822784,-76
09/04/2020,855,768,87,288,249,39,-76.00030044,-79.89016656,-78.92164449,-73.90040811,-68.33154598,-87.31206388,-66.9572447,-41.91880372,-82.99433849,-83
