fecha,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex
24/03/2020,50,50,0,39,39,0
25/03/2020,105,105,0,33,33,0
26/03/2020,128,128,0,42,42,0
27/03/2020,175,175,0,60,60,0
28/03/2020,257,257,0,78,78,0
29/03/2020,258,258,0,84,84,0
30/03/2020,324,301,23,109,104,5
31/03/2020,328,313,15,122,118,4
01/04/2020,384,359,25,133,128,5
02/04/2020,393,361,32,143,136,7
03/04/2020,448,405,43,131,124,7
04/04/2020,474,434,40,132,127,5
05/04/2020,546,509,37,153,146,7
06/04/2020,596,559,37,182,171,11
07/04/2020,670,609,61,191,178,13
08/04/2020,741,657,84,229,202,27
09/04/2020,855,768,87,288,249,39
10/04/2020,1085,834,251,314,256,58
11/04/2020,1212,910,302,336,265,71
12/04/2020,1316,997,319,359,280,79
13/04/2020,1379,1027,352,372,275,97
14/04/2020,1446,1110,336,418,343,75
15/04/2020,1530,1121,409,472,355,117
16/04/2020,1705,1255,450,508,390,118
17/04/2020,1887,1408,479,585,468,117
18/04/2020,2067,1548,519,611,487,124
19/04/2020,2205,1647,558,654,524,130
20/04/2020,2301,1706,595,656,529,127
21/04/2020,2529,1878,651,699,572,127
22/04/2020,2574,1932,642,703,570,133
23/04/2020,2745,2064,681,701,571,130
24/04/2020,2935,2162,773,760,620,140
25/04/2020,3243,2445,798,840,685,155
26/04/2020,3394,2572,826,887,723,164
27/04/2020,3753,2689,941,915,747,154
28/04/2020,3921,2675,1082,970,768,186
29/04/2020,4061,2765,1149,1015,805,196
30/04/2020,4238,2900,1207,1057,845,215
01/05/2020,4466,3037,1241,1068,825,203
02/05/2020,4553,3096,1259,1026,816,198
03/05/2020,4628,3099,1381,1066,870,228
04/05/2020,4718,3201,1517,1080,849,231
05/05/2020,4994,3438,1556,1102,878,224
06/05/2020,4904,3378,1526,1104,875,229
07/05/2020,4906,3424,1482,1134,899,235
08/05/2020,5103,3574,1529,1162,914,248
09/05/2020,5216,3610,1606,1186,918,268
10/05/2020,5400,3767,1633,1197,919,278
11/05/2020,5423,3779,1644,1193,935,258
12/05/2020,5549,3903,1646,1218,961,257
13/05/2020,5649,3964,1685,1254,987,267
14/05/2020,5726,4009,1717,1248,956,292
15/05/2020,5871,4099,1772,1289,974,315
16/05/2020,5970,4159,1811,1295,982,313
17/05/2020,6322,4390,1932,1433,1105,328
18/05/2020,6273,4371,1902,1433,1107,326
19/05/2020,6320,4419,1901,1453,1119,334
20/05/2020,6425,4540,1885,1429,1111,318
21/05/2020,6406,4533,1873,1446,1090,356
22/05/2020,6457,4573,1884,1439,1077,362
23/05/2020,6359,4490,1869,1493,1123,370
