id,estatus,tipo_poblacion,codigo_postal,colonia,alcaldia,estado_civil,dependientes_ecconomicos,num_dependientes_economicos,ult_grado_estudios,estatus_estudios,profesion,tiempo_buscando_empleo
0,APROBADO,POBLACION GENERAL,15630,CARACOL,VENUSTIANO CARRANZA,SIN DATO,SIN DATO,SIN DATO,POSGRADO,CONCLUIDO,SIN DATO,SIN DATO
1,APROBADO,POBLACION GENERAL,4970,HACIENDAS DE COYOACAN,COYOACAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
2,NO APROBADO,POBLACION GENERAL,1710,LAS AGUILAS,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
3,NO APROBADO,POBLACION GENERAL,2400,SAN JUAN TLIHUACA,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,TRUNCO,SIN DATO,SIN DATO
4,APROBADO,POBLACION GENERAL,14240,LOMAS DE PADIERNA,TLALPAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
5,NO APROBADO,POBLACION GENERAL,9810,GRANJAS ESMERALDA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
6,NO APROBADO,POBLACION GENERAL,9690,IZTLAHUACAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
7,NO APROBADO,POBLACION GENERAL,7230,ZONA ESCOLAR,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
8,NO APROBADO,POBLACION GENERAL,13093,SAN SEBASTIAN,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
9,NO APROBADO,POBLACION GENERAL,8700,JUVENTINO ROSAS,IZTACALCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
10,NO APROBADO,POBLACION GENERAL,07979,SAN JUAN DE ARAGON V SECCION,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
11,NO APROBADO,POBLACION GENERAL,02700,SAN MIGUEL AMANTLA,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
12,NO APROBADO,POBLACION GENERAL,7020,TEPEYAC INSURGENTES,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
13,APROBADO,POBLACION GENERAL,16320,SAN LUCAS ORIENTE,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
14,NO APROBADO,POBLACION GENERAL,16090,CALTONGO,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
15,NO APROBADO,POBLACION GENERAL,5200,SAN JOSE DE LOS CEDROS,CUAJIMALPA DE MORELOS,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
16,NO APROBADO,POBLACION GENERAL,9290,SANTA CRUZ MEYEHUALCO,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
17,APROBADO,POBLACION GENERAL,3410,POSTAL,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
18,APROBADO,POBLACION GENERAL,7420,NUEVA ATZACOALCO,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
19,NO APROBADO,POBLACION GENERAL,9180,ERMITA ZARAGOZA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
20,APROBADO,POBLACION GENERAL,7230,ZONA ESCOLAR,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
21,NO APROBADO,POBLACION GENERAL,9000,SAN PEDRO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
22,NO APROBADO,POBLACION GENERAL,2710,SAN PEDRO XALPA,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
23,NO APROBADO,POBLACION GENERAL,13363,TEMPILULI,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
24,APROBADO,POBLACION GENERAL,9319,CUCHILLA DEL MORAL,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
25,NO APROBADO,POBLACION GENERAL,9400,EL SIFON,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
26,NO APROBADO,POBLACION GENERAL,9300,GUADALUPE DEL MORAL,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
27,NO APROBADO,POBLACION GENERAL,9910,LOS MIRASOLES,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
28,APROBADO,POBLACION GENERAL,05219,GRANJAS NAVIDAD,CUAJIMALPA DE MORELOS,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
29,NO APROBADO,POBLACION GENERAL,3540,DEL CARMEN,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
30,APROBADO,POBLACION GENERAL,3640,DEL LAGO,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
31,APROBADO,POBLACION GENERAL,2680,POTRERO DEL LLANO,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
32,NO APROBADO,POBLACION GENERAL,09310,LEYES DE REFORMA 3A SECCION,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
33,NO APROBADO,POBLACION GENERAL,9000,SANTA BARBARA,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
34,NO APROBADO,POBLACION GENERAL,9708,MIXCOATL,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,TRUNCO,SIN DATO,SIN DATO
35,NO APROBADO,POBLACION GENERAL,09600,SANTIAGO ACAHUALTEPEC,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
36,NO APROBADO,POBLACION GENERAL,10600,EL ROSAL,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
37,NO APROBADO,POBLACION GENERAL,10926,TIERRA COLORADA,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
38,NO APROBADO,POBLACION GENERAL,4330,EL ROSEDAL,COYOACAN,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
39,NO APROBADO,POBLACION GENERAL,10926,TIERRA COLORADA,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
40,NO APROBADO,POBLACION GENERAL,15510,PENSADOR MEXICANO,GUSTAVO A MADERO,SIN DATO,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
41,NO APROBADO,POBLACION GENERAL,11320,ANAHUAC I SECCION,MIGUEL HIDALGO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
42,APROBADO,POBLACION GENERAL,6800,OBRERA,CUAUHTEMOC,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
43,APROBADO,POBLACION GENERAL,16070,BARRIO BELEN,XOCHIMILCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
44,NO APROBADO,POBLACION GENERAL,9630,SAN MIGUEL TEOTONGO SECCION TORRES,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
45,NO APROBADO,POBLACION GENERAL,11270,ARGENTINA ANTIGUA,MIGUEL HIDALGO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
46,NO APROBADO,POBLACION GENERAL,9870,SANTA MARIA TOMATLAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
47,NO APROBADO,POBLACION GENERAL,14260,MIGUEL HIDALGO 1A SECCION,TLALPAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
